epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6926,2.18722,4.33298,1.85336,0.67197,0.54676,0.56977,0.24075,1.9193,1.8463,1.59099,0.0706818,0.00325758,0.00325758
2,33.738,1.6863,1.74208,1.45596,0.74694,0.5516,0.64422,0.30331,1.79507,2.08141,1.41489,0.0405513,0.00646041,0.00646041
3,49.3719,1.58917,1.45494,1.31886,0.82905,0.48325,0.60343,0.2875,1.78114,1.94325,1.51637,0.0102888,0.00953124,0.00953124
4,64.391,1.53633,1.49762,1.3059,0.73046,0.59786,0.67145,0.32272,1.78749,1.66085,1.56485,0.009406,0.009406,0.009406
5,79.2984,1.56011,1.22161,1.30098,0.79952,0.61922,0.69432,0.3139,1.81816,1.61759,1.54309,0.009208,0.009208,0.009208
6,94.4509,1.48064,1.12823,1.26933,0.70558,0.58007,0.63975,0.26678,2.09263,1.54623,1.73502,0.00901,0.00901,0.00901
7,109.713,1.54124,1.14476,1.31605,0.81236,0.73955,0.82789,0.42005,1.70268,1.22144,1.42361,0.008812,0.008812,0.008812
8,124.87,1.5435,1.08572,1.32778,0.77363,0.71758,0.7623,0.40461,1.60304,1.25761,1.39653,0.008614,0.008614,0.008614
9,140.568,1.46559,0.97489,1.28079,0.81886,0.79715,0.86739,0.44393,1.59702,1.14543,1.35012,0.008416,0.008416,0.008416
10,155.557,1.43559,0.93487,1.24909,0.85089,0.81234,0.87103,0.47629,1.51404,0.97602,1.28244,0.008218,0.008218,0.008218
11,170.532,1.42062,0.93244,1.2588,0.80194,0.80783,0.83198,0.4248,1.63477,1.10754,1.35213,0.00802,0.00802,0.00802
12,186.248,1.45137,0.9574,1.2381,0.91906,0.82562,0.91228,0.46596,1.65434,0.96394,1.38934,0.007822,0.007822,0.007822
13,201.06,1.39856,0.88578,1.22836,0.80162,0.78648,0.85207,0.45134,1.6147,1.12755,1.40549,0.007624,0.007624,0.007624
14,216.235,1.34492,0.87445,1.22182,0.89928,0.75445,0.83816,0.44873,1.58266,1.14651,1.35772,0.007426,0.007426,0.007426
15,231.837,1.35649,0.8475,1.19844,0.88579,0.85559,0.91164,0.50276,1.48443,0.87157,1.26487,0.007228,0.007228,0.007228
16,246.783,1.35814,0.82761,1.17397,0.89252,0.88653,0.93966,0.51392,1.52142,0.79496,1.31301,0.00703,0.00703,0.00703
17,261.695,1.29725,0.77577,1.1656,0.86885,0.81139,0.87716,0.45602,1.62713,0.92297,1.35802,0.006832,0.006832,0.006832
18,276.35,1.30144,0.76428,1.18822,0.93631,0.879,0.95209,0.52045,1.52689,0.7746,1.29378,0.006634,0.006634,0.006634
19,291.399,1.30721,0.78311,1.18532,0.90983,0.90747,0.95412,0.52704,1.48811,0.73655,1.26947,0.006436,0.006436,0.006436
20,306.352,1.31491,0.73498,1.17257,0.90541,0.85157,0.91313,0.47733,1.56719,0.85388,1.34417,0.006238,0.006238,0.006238
21,322.163,1.29799,0.75104,1.18576,0.9179,0.8753,0.93553,0.49809,1.54459,0.75031,1.31198,0.00604,0.00604,0.00604
22,337.066,1.24637,0.71399,1.13764,0.87665,0.80071,0.85621,0.45285,1.64225,1.02606,1.38977,0.005842,0.005842,0.005842
23,352.093,1.31103,0.74759,1.17602,0.92443,0.79359,0.88177,0.49446,1.54674,0.98228,1.35533,0.005644,0.005644,0.005644
24,367.002,1.23577,0.67925,1.13249,0.95287,0.81851,0.92329,0.49691,1.59313,0.84635,1.32345,0.005446,0.005446,0.005446
25,381.965,1.22823,0.66246,1.10646,0.92062,0.94923,0.96309,0.54677,1.47124,0.71384,1.22909,0.005248,0.005248,0.005248
26,397.136,1.21502,0.66177,1.11749,0.96258,0.91534,0.94998,0.5621,1.44995,0.68712,1.24253,0.00505,0.00505,0.00505
27,412.764,1.20792,0.71184,1.11886,0.89981,0.90747,0.93683,0.52287,1.47655,0.74158,1.25508,0.004852,0.004852,0.004852
28,427.757,1.19868,0.64662,1.10225,0.92697,0.95018,0.97112,0.56036,1.45188,0.65738,1.23024,0.004654,0.004654,0.004654
29,442.69,1.20633,0.64545,1.11181,0.93726,0.88612,0.95209,0.56908,1.4473,0.67378,1.23332,0.004456,0.004456,0.004456
30,457.602,1.20944,0.66571,1.10304,0.90747,0.94306,0.95362,0.55422,1.45225,0.68008,1.2457,0.004258,0.004258,0.004258
31,473.122,1.17847,0.61399,1.0977,0.93742,0.9063,0.95861,0.54562,1.46981,0.69939,1.23777,0.00406,0.00406,0.00406
32,491.852,1.15726,0.59706,1.07686,0.93968,0.94244,0.98049,0.56829,1.46825,0.63271,1.24689,0.003862,0.003862,0.003862
33,506.844,1.12742,0.60344,1.0805,0.91823,0.93594,0.95946,0.54511,1.49805,0.69432,1.25216,0.003664,0.003664,0.003664
34,521.691,1.10475,0.58802,1.05547,0.94557,0.9274,0.96755,0.54859,1.49399,0.64865,1.26342,0.003466,0.003466,0.003466
35,536.587,1.1131,0.67297,1.04862,0.95584,0.92436,0.96251,0.57328,1.39933,0.62489,1.2283,0.003268,0.003268,0.003268
36,551.507,1.10677,0.59006,1.06658,0.95666,0.94662,0.97778,0.58983,1.39813,0.59781,1.22243,0.00307,0.00307,0.00307
37,567.169,1.0528,0.6026,1.02912,0.97888,0.94306,0.97893,0.58152,1.42408,0.57881,1.23647,0.002872,0.002872,0.002872
38,582.049,1.07782,0.53519,1.04139,0.94942,0.95018,0.96877,0.55797,1.46587,0.62274,1.2508,0.002674,0.002674,0.002674
39,599.803,1.09108,0.53974,1.051,0.94041,0.95471,0.97318,0.57793,1.46023,0.58329,1.24658,0.002476,0.002476,0.002476
40,615.255,1.06854,0.54071,1.0527,0.97243,0.95018,0.98359,0.61694,1.37264,0.55155,1.19623,0.002278,0.002278,0.002278
41,633.141,1.05503,0.51136,1.03579,0.95666,0.94259,0.98223,0.5977,1.39194,0.58233,1.21583,0.00208,0.00208,0.00208
42,647.739,1.01171,0.46111,1.01994,0.96801,0.96908,0.98399,0.58889,1.43514,0.57676,1.23127,0.001882,0.001882,0.001882
43,662.438,0.98561,0.44653,1.00188,0.95796,0.97299,0.98668,0.60267,1.39062,0.56487,1.19575,0.001684,0.001684,0.001684
44,677.019,0.99334,0.45007,1.00773,0.96186,0.96441,0.98501,0.6236,1.34194,0.55023,1.17769,0.001486,0.001486,0.001486
45,692.293,0.97103,0.45826,0.98611,0.95337,0.97153,0.97864,0.60198,1.42327,0.5452,1.22981,0.001288,0.001288,0.001288
46,707.718,0.92812,0.41555,1.00045,0.97153,0.97509,0.9912,0.6319,1.34445,0.52268,1.18534,0.00109,0.00109,0.00109
47,722.972,0.94196,0.41506,0.99789,0.9812,0.97509,0.98921,0.62364,1.37436,0.51863,1.19564,0.000892,0.000892,0.000892
48,737.666,0.92733,0.40295,0.98305,0.98052,0.97153,0.98957,0.61491,1.40014,0.5326,1.20749,0.000694,0.000694,0.000694
49,752.314,0.93294,0.40307,0.98698,0.9768,0.96441,0.98768,0.63411,1.35862,0.52864,1.20688,0.000496,0.000496,0.000496
50,767.043,0.91603,0.40086,0.98645,0.97518,0.97861,0.99025,0.62693,1.37581,0.50783,1.20206,0.000298,0.000298,0.000298
